sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,leftCorrect,responseLeft,confidence
41,62,67,25,50,57,31,56,57,67,69,37,53,25,54,61,-16,-5,-2,-12,-3,32,-23,-5,1,0,0,2
42,39,43,75,42,36,73,51,47,26,30,26,54,38,48,69,-5,13,13,49,-12,-2,25,-18,0,1,1,6
63,35,49,39,41,15,25,50,33,74,53,64,45,33,33,51,30,-39,-4,-25,-4,-18,-8,-1,1,0,0,6
69,55,42,49,74,54,33,35,53,47,41,35,72,37,26,63,16,8,1,14,2,17,7,-28,0,1,0,1
42,62,66,44,51,19,33,40,29,41,16,49,58,37,46,19,13,21,50,-5,-7,-18,-13,21,0,1,1,1
37,38,79,56,66,41,60,55,21,49,61,44,55,26,55,54,16,-11,18,12,11,15,5,1,0,1,1,6
47,26,27,48,61,39,50,68,29,59,35,56,66,60,57,72,18,-33,-8,-8,-5,-21,-7,-4,1,0,0,6
55,63,21,50,50,43,23,46,35,80,40,59,65,49,42,48,20,-17,-19,-9,-15,-6,-19,-2,1,0,0,6
45,41,63,77,55,48,59,28,46,35,57,59,52,20,56,26,-1,6,6,18,3,28,3,2,0,1,1,6
54,27,35,42,18,58,32,55,59,61,34,26,61,37,63,40,-5,-34,1,16,-43,21,-31,15,1,0,1,1
62,57,76,30,60,56,46,36,61,20,46,48,29,64,48,41,1,37,30,-18,31,-8,-2,-5,0,1,1,1
38,32,36,32,64,58,19,30,35,16,55,47,58,52,47,65,3,16,-19,-15,6,6,-28,-35,1,0,0,6
56,72,40,66,42,41,40,76,48,40,71,38,66,51,58,28,8,32,-31,28,-24,-10,-18,48,0,1,1,6
38,51,41,50,31,47,19,70,45,78,44,52,37,53,36,30,-7,-27,-3,-2,-6,-6,-17,40,1,0,1,1
49,65,29,39,63,28,63,50,58,44,23,35,59,15,39,45,-9,21,6,4,4,13,24,5,0,1,1,6
69,29,50,31,32,47,25,48,78,48,45,63,31,38,45,41,-9,-19,5,-32,1,9,-20,7,1,0,1,6
55,40,57,48,26,26,58,64,66,36,55,74,51,28,57,40,-11,4,2,-26,-25,-2,1,24,1,0,1,1
38,40,47,65,22,40,69,48,46,41,24,20,36,65,49,26,-8,-1,23,45,-14,-25,20,22,0,1,1,6
34,54,66,27,59,60,67,59,45,27,37,41,66,48,71,56,-11,27,29,-14,-7,12,-4,3,0,1,1,2
46,61,20,59,37,41,48,21,63,50,42,41,20,62,33,60,-17,11,-22,18,17,-21,15,-39,1,0,0,1
30,42,70,62,31,51,58,64,69,39,52,59,28,44,26,59,-39,3,18,3,3,7,32,5,0,1,1,6
66,37,63,32,69,47,40,39,70,62,64,36,28,53,47,61,-4,-25,-1,-4,41,-6,-7,-22,1,0,0,1
44,64,50,28,36,62,35,66,51,26,59,56,24,22,41,38,-7,38,-9,-28,12,40,-6,28,0,1,1,6
21,46,62,38,50,18,46,29,71,50,27,43,63,38,48,33,-50,-4,35,-5,-13,-20,-2,-4,1,0,0,5
72,59,21,58,51,49,46,63,56,43,63,44,48,48,17,62,16,16,-42,14,3,1,29,1,0,1,1,6
42,33,29,30,53,67,67,47,32,30,44,13,46,61,50,31,10,3,-15,17,7,6,17,16,0,1,1,6
66,41,53,40,27,51,21,52,53,50,62,61,39,71,24,56,13,-9,-9,-21,-12,-20,-3,-4,1,0,0,6
44,37,57,52,68,27,26,54,70,44,53,29,60,66,69,41,-26,-7,4,23,8,-39,-43,13,1,0,0,6
26,54,48,45,36,76,58,40,46,44,42,65,38,60,14,45,-20,10,6,-20,-2,16,44,-5,0,1,1,6
47,56,78,28,51,54,73,53,21,41,72,34,49,53,57,52,26,15,6,-6,2,1,16,1,0,1,1,6
38,56,34,66,33,18,27,40,28,47,41,58,48,42,77,36,10,9,-7,8,-15,-24,-50,4,1,0,0,6
41,44,48,38,76,64,49,31,44,62,29,38,22,64,47,52,-3,-18,19,0,54,0,2,-21,0,1,1,1
67,38,65,43,49,26,32,51,36,40,84,45,58,61,49,62,31,-2,-19,-2,-9,-35,-17,-11,1,0,0,6
47,26,48,61,27,39,68,50,29,59,35,56,66,60,57,72,18,-33,13,5,-39,-21,11,-22,1,0,0,6
32,17,55,60,60,36,32,41,19,60,53,51,50,74,48,46,13,-43,2,9,10,-38,-16,-5,1,0,0,6
73,46,35,25,56,58,40,40,52,56,37,30,67,65,76,58,21,-10,-2,-5,-11,-7,-36,-18,1,0,0,6
71,52,49,43,69,54,44,23,79,57,55,59,36,68,50,37,-8,-5,-6,-16,33,-14,-6,-14,1,0,0,6
56,55,30,34,58,53,24,64,61,76,45,57,58,53,26,65,-5,-21,-15,-23,0,0,-2,-1,1,0,0,6
58,56,26,42,50,75,49,66,47,33,32,44,65,34,70,37,11,23,-6,-2,-15,41,-21,29,0,1,0,6
56,43,44,62,63,17,48,48,72,59,21,58,51,49,46,63,-16,-16,23,4,12,-32,2,-15,1,0,0,6
64,59,27,31,61,52,41,62,63,45,60,19,54,34,40,52,1,14,-33,12,7,18,1,10,0,1,1,6
30,60,46,44,49,55,28,73,46,41,56,60,17,23,39,41,-16,19,-10,-16,32,32,-11,32,0,1,1,6
37,59,39,41,79,39,55,58,23,54,37,73,51,36,53,49,14,5,2,-32,28,3,2,9,0,1,1,6
55,66,43,73,32,55,31,62,31,41,34,66,24,49,62,47,24,25,9,7,8,6,-31,15,0,1,1,6
64,47,39,44,22,53,69,52,55,41,16,47,40,57,36,65,9,6,23,-3,-18,-4,33,-13,0,1,0,6
34,54,66,27,59,60,67,59,27,45,37,71,41,48,66,56,7,9,29,-44,18,12,1,3,0,1,1,6
65,47,78,39,52,57,29,62,49,40,43,36,43,55,83,53,16,7,35,3,9,2,-54,9,0,1,0,1
66,64,54,50,35,51,28,30,32,60,33,19,55,59,48,38,34,4,21,31,-20,-8,-20,-8,0,1,1,1
49,39,64,55,22,56,25,51,45,52,44,13,23,38,28,56,4,-13,20,42,-1,18,-3,-5,0,1,1,1
43,31,50,70,54,29,43,23,59,34,44,69,47,69,29,55,-16,-3,6,1,7,-40,14,-32,1,0,0,1
44,37,52,68,57,27,54,26,70,44,53,29,60,66,69,41,-26,-7,-1,39,-3,-39,-15,-15,1,0,0,6
44,46,31,28,37,39,61,73,35,50,26,56,39,65,33,24,9,-4,5,-28,-2,-26,28,49,0,1,1,6
