subject,L1,L2,L3,L4,L5,L6,L7,L8,R1,R2,R3,R4,R5,R6,R7,R8,human_choice,normative_choice,EV_left,EV_right,EV_diff,complexity,is_correct,dataset_source,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
1,31,44,61,54,58,45,59,45,60,52,48,82,18,64,32,47,1,0,49.625,50.375,-0.75,14.336417732516887,0,lab,23.84192735497699,40.0,-29.0,-2,2.0794415416798357
1,74,35,44,36,30,58,54,62,85,62,48,61,57,47,70,39,0,0,49.125,58.625,-9.5,5.752868582663394,1,lab,17.334935823359714,23.0,-27.0,-4,1.9061547465398496
1,59,45,58,71,58,80,38,38,29,55,34,67,57,58,46,25,1,1,55.875,46.375,9.5,6.0085997648616445,1,lab,14.089002803605371,30.0,-10.0,4,2.0794415416798357
1,60,40,47,76,48,59,33,69,51,45,55,12,37,56,58,40,1,1,54.0,44.25,9.75,5.463480864023197,1,lab,25.252475126212875,64.0,-25.0,2,2.0794415416798357
1,84,57,18,59,49,55,71,73,67,47,54,74,48,54,67,51,1,1,58.25,57.75,0.5,14.735922464141558,1,lab,17.356554957709783,22.0,-36.0,4,1.9061547465398496
1,43,57,84,69,60,42,70,48,50,44,46,30,52,37,53,80,0,1,59.125,49.0,10.125,5.047205948158407,0,lab,21.693533022539228,39.0,-32.0,4,2.0794415416798357
1,15,83,45,49,26,47,41,35,38,29,54,43,34,41,50,58,0,0,42.625,43.375,-0.75,14.520887335056859,1,lab,23.09626593196398,54.0,-23.0,-2,1.559581156259877
1,46,55,73,35,31,44,67,40,52,72,67,68,37,70,37,66,0,0,48.875,58.625,-9.75,5.417948663766854,1,lab,19.292161620720474,30.0,-33.0,-4,1.7328679513998633
1,54,60,41,53,75,49,56,61,50,61,32,98,43,52,49,64,0,0,56.125,56.125,0.0,15.028306624500313,1,lab,20.043702252827444,32.0,-45.0,0,1.9061547465398496
1,28,64,58,52,44,70,49,75,25,44,51,51,70,48,49,22,1,1,55.0,45.0,10.0,5.624766664924419,1,lab,21.295539439046856,53.0,-26.0,5,2.0794415416798357
1,46,53,48,59,74,53,48,41,62,92,27,43,60,39,42,59,0,0,52.75,53.0,-0.25,15.02470676205166,1,lab,20.07952937695503,21.0,-39.0,2,1.9061547465398496
1,83,32,52,54,48,60,65,46,26,32,58,53,70,45,39,34,0,1,55.0,44.625,10.375,5.014254909405675,0,lab,22.231382660554427,57.0,-22.0,3,2.0794415416798357
1,70,30,38,34,63,48,44,34,60,28,52,43,72,60,72,56,0,0,45.125,55.375,-10.25,4.816519173319364,1,lab,11.366067921669305,10.0,-28.0,-4,1.9061547465398496
1,43,29,32,51,49,24,66,59,77,73,54,46,50,48,50,32,1,0,44.125,53.75,-9.625,5.494386010461316,0,lab,23.510303592255035,27.0,-44.0,-2,2.0794415416798357
1,34,56,38,54,47,50,66,48,33,36,48,42,68,44,31,90,0,1,49.125,49.0,0.125,15.325862974820101,0,lab,22.668466533932108,35.0,-42.0,2,2.0794415416798357
1,63,27,20,40,45,30,56,54,54,62,54,48,70,65,26,37,1,0,41.875,52.0,-10.125,5.312913287315313,0,lab,24.35383696668761,30.0,-35.0,-2,1.9061547465398496
1,70,58,61,47,46,34,35,28,56,82,40,51,51,52,76,46,0,0,47.375,56.75,-9.375,5.602622196686184,1,lab,18.973254201638685,21.0,-41.0,-4,1.9061547465398496
