subject,sequenceA1,sequenceA2,sequenceA3,sequenceA4,sequenceA5,sequenceA6,sequenceA7,sequenceA8,sequenceB1,sequenceB2,sequenceB3,sequenceB4,sequenceB5,sequenceB6,sequenceB7,sequenceB8,isDifferentMeanSameVariance,sequenceChoiceLeft,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy,economic_loss
1,37,59,68,59,69,40,27,47,44,48,15,57,50,40,51,20,1,1,50.75,40.625,10.125,1,1,-10.125,15.644887343793819,5.519887343793819,21.877142752196868,53.0,-24.0,3,2.0794415416798357,0.0
1,33,92,53,61,85,45,54,60,48,54,53,74,59,61,55,76,0,0,60.375,60.0,0.375,1,0,-0.375,15.047563479403125,14.672563479403125,19.44824863580266,38.0,-16.0,-3,1.9061547465398496,0.375
1,25,65,27,58,12,55,61,57,49,47,51,44,36,30,64,41,0,1,45.0,45.25,-0.25,0,0,-0.25,15.538661461013943,15.288661461013943,19.803724397193573,25.0,-24.0,0,1.6674619334292948,0.25
1,61,46,64,47,29,47,33,72,55,75,74,80,59,41,49,48,1,1,49.875,60.125,-10.25,0,0,-10.25,15.183324185873571,4.9333241858735715,19.343926695477318,24.0,-33.0,-2,1.9061547465398496,10.25
1,82,44,38,56,72,55,66,67,44,34,33,42,69,47,58,73,1,0,60.0,50.0,10.0,1,0,-10.0,15.279616051022574,5.279616051022574,11.926860441876563,38.0,-6.0,6,1.9061547465398496,10.0
1,47,45,72,64,65,48,49,56,36,23,85,67,75,55,54,56,0,0,55.75,56.375,-0.625,0,1,-0.625,15.346959525152423,14.721959525152423,10.919449390880477,22.0,-13.0,-3,2.0794415416798357,0.0
1,22,51,42,90,67,54,61,54,69,49,43,42,61,53,59,63,0,0,55.125,54.875,0.25,1,0,-0.25,14.935416521365136,14.685416521365136,24.081891537003482,48.0,-47.0,2,1.9061547465398496,0.25
1,54,47,60,39,53,67,50,16,36,71,62,53,85,44,56,57,1,0,48.25,58.0,-9.75,0,1,-9.75,15.662588121593016,5.912588121593016,21.241174637952582,23.0,-41.0,-4,2.0794415416798357,0.0
1,71,70,62,65,58,32,78,46,68,57,25,57,59,41,62,33,1,1,60.25,50.25,10.0,1,1,-10.0,15.489781577973698,5.489781577973698,12.835497652993435,37.0,-9.0,4,1.9061547465398496,0.0
1,55,57,39,70,43,63,85,49,40,50,69,71,46,43,30,37,1,1,57.625,48.25,9.375,1,1,-9.375,15.13701313557819,5.76201313557819,22.499652775098554,55.0,-30.0,2,2.0794415416798357,0.0
