sequenceLeft_1,sequenceLeft_2,sequenceLeft_3,sequenceLeft_4,sequenceLeft_5,sequenceLeft_6,sequenceLeft_7,sequenceLeft_8,sequenceRight_1,sequenceRight_2,sequenceRight_3,sequenceRight_4,sequenceRight_5,sequenceRight_6,sequenceRight_7,sequenceRight_8,diffSequence_1,diffSequence_2,diffSequence_3,diffSequence_4,diffSequence_5,diffSequence_6,diffSequence_7,diffSequence_8,flip,responseLeft,confidence,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
46,20,41,37,61,59,21,48,63,50,42,41,20,62,33,60,-17,-30,-1,-4,41,-3,-12,-12,1,0,5,41.625,46.375,-4.75,0,1,-4.75,15.019986684414869,10.269986684414869,19.37620963965863,41.0,-30.0,-6,1.9061547465398496
79,57,55,59,36,68,50,37,52,49,43,71,69,23,54,44,27,8,12,-12,-33,45,-4,-7,0,0,2,55.125,50.625,4.5,1,0,-4.5,14.582523787054146,10.082523787054146,22.63294059551255,45.0,-33.0,0,2.0794415416798357
28,19,68,45,37,40,40,50,67,43,22,58,39,41,54,65,-39,-24,46,-13,-2,-1,-14,-15,1,0,6,40.875,48.625,-7.75,0,1,-7.75,14.946571513226704,7.196571513226704,23.258063117981255,46.0,-39.0,-6,2.0794415416798357
55,45,29,43,69,39,29,64,55,45,37,67,77,57,35,65,0,0,-8,-24,-8,-18,-6,-1,1,0,6,46.625,54.75,-8.125,0,1,-8.125,15.027613472094187,6.9026134720941865,8.192031188905473,0.0,-24.0,-6,1.7328679513998633
39,36,37,57,78,40,57,45,60,82,63,48,34,46,45,44,-21,-46,-26,9,44,-6,12,1,1,0,6,48.625,52.75,-4.125,0,1,-4.125,14.41165616205623,10.28665616205623,25.72662774247725,44.0,-46.0,0,2.0794415416798357
67,44,43,66,35,54,28,31,20,52,51,68,58,62,50,37,47,-8,-8,-2,-23,-8,-22,-6,1,1,6,46.0,49.75,-3.75,0,0,-3.75,14.719035294474974,10.969035294474974,20.437404434027332,47.0,-23.0,-6,1.6674619334292948
30,57,63,33,44,53,23,56,35,62,42,38,71,73,44,58,-5,-5,21,-5,-27,-20,-21,-2,1,0,6,44.875,52.875,-8.0,0,1,-8.0,14.930394055974098,6.930394055974098,14.044571905188139,21.0,-27.0,-6,1.6674619334292946
60,46,75,39,32,31,44,35,34,63,68,36,47,67,41,67,26,-17,7,3,-15,-36,3,-32,1,0,6,45.25,52.875,-7.625,0,1,-7.625,15.070805110101672,7.445805110101672,19.72268680986442,26.0,-36.0,0,1.9061547465398496
51,59,41,26,24,56,22,38,44,64,50,28,36,62,35,66,7,-5,-9,-2,-12,-6,-13,-28,1,0,6,39.625,48.125,-8.5,0,1,-8.5,14.867750334196495,6.367750334196495,9.447221813845593,7.0,-28.0,-6,2.0794415416798357
55,39,44,54,36,69,26,63,70,57,46,46,18,40,45,33,-15,-18,-2,8,18,29,-19,30,0,1,5,48.25,44.375,3.875,1,1,-3.875,14.609215128358768,10.734215128358768,19.114376134208513,30.0,-19.0,0,2.0794415416798357
35,56,64,34,47,46,31,18,46,24,76,41,50,50,44,31,-11,32,-12,-7,-3,-4,-13,-13,1,1,5,41.375,45.25,-3.875,0,0,-3.875,14.727383791201115,10.852383791201115,14.057360171810354,32.0,-13.0,-6,1.9061547465398496
42,43,67,47,46,52,61,17,29,27,64,41,45,29,43,63,13,16,3,6,1,23,18,-46,0,1,2,46.875,42.625,4.25,1,1,-4.25,14.447606491503475,10.197606491503475,20.296243494794794,23.0,-46.0,6,2.0794415416798357
51,65,59,41,65,21,44,56,20,52,53,39,26,63,31,52,31,13,6,2,39,-42,13,4,0,0,2,50.25,42.0,8.25,1,0,-8.25,15.121177202850312,6.871177202850312,22.626035887888094,39.0,-42.0,6,1.9061547465398496
51,56,54,60,37,87,38,56,40,40,45,56,63,68,23,38,11,16,9,4,-26,19,15,18,0,1,6,54.875,46.625,8.25,1,1,-8.25,15.251229458637097,7.001229458637097,13.763629608500803,19.0,-26.0,6,2.0794415416798357
31,57,60,41,28,55,27,60,74,43,37,39,62,61,33,45,-43,14,23,2,-34,-6,-6,15,1,0,6,44.875,49.25,-4.375,0,1,-4.375,14.340937905172032,9.965937905172032,22.01668401462854,23.0,-43.0,0,1.9061547465398496
30,63,57,44,53,33,56,23,35,62,42,38,71,73,44,58,-5,1,15,6,-18,-40,12,-35,1,0,6,44.875,52.875,-8.0,0,1,-8.0,14.930394055974098,6.930394055974098,19.58315602756614,15.0,-40.0,0,2.0794415416798357
