subject,sequences_ 1,sequences_ 2,sequences_ 3,sequences_ 4,sequences_ 5,sequences_ 6,sequences_ 7,sequences_ 8,sequences_ 9,sequences_10,sequences_11,sequences_12,sequences_13,sequences_14,sequences_15,sequences_16,responseLeft,EV_left,EV_right,EV_diff,normative_choice,is_correct,complexity_diff,complexity_sd,complexity,pair_diff_std,pair_diff_max,pair_diff_min,pair_winner_balance,pair_diff_entropy
1,82,36,45,52,63,74,58,53,65,62,38,39,35,32,68,42,1,57.875,47.625,10.25,1,1,-10.25,15.312304420519684,5.062304420519684,19.721498421773127,42.0,-26.0,4,2.0794415416798357
1,19,70,40,45,35,34,51,26,59,62,25,44,66,58,42,32,0,40.0,48.5,-8.5,0,1,-8.5,15.51128621359299,7.0112862135929905,19.254869513969705,15.0,-40.0,0,2.0794415416798357
1,59,46,79,70,40,42,56,69,45,71,66,40,57,28,46,38,1,57.625,48.875,8.75,1,1,-8.75,14.708274315273473,5.9582743152734725,18.78663088475419,31.0,-25.0,4,1.9061547465398496
1,36,58,18,45,42,62,53,55,24,27,25,20,38,57,61,42,1,46.125,36.75,9.375,1,1,-9.375,15.244534539740245,5.869534539740245,12.989779636314081,31.0,-8.0,4,2.0794415416798357
1,29,79,58,39,45,48,36,45,55,72,42,73,57,36,54,74,0,47.375,57.875,-10.5,0,1,-10.5,15.3747628708001,4.874762870800099,18.398369492974098,16.0,-34.0,-2,2.0794415416798357
1,35,63,26,57,45,48,73,46,44,50,60,47,70,82,76,47,0,49.125,59.5,-10.375,0,1,-10.375,15.38275549655089,5.007755496550891,17.449480651297332,13.0,-34.0,-4,1.9061547465398496
1,61,70,61,36,72,61,70,33,27,47,67,30,52,49,64,48,1,58.0,48.0,10.0,1,1,-10.0,15.0996688705415,5.0996688705415,14.84082207965583,34.0,-15.0,4,1.9061547465398496
1,62,32,28,69,50,41,43,34,53,56,36,29,73,49,62,69,0,44.875,53.375,-8.5,0,1,-8.5,15.063753405664428,6.563753405664428,22.14158982548453,40.0,-35.0,-4,1.9061547465398496
1,40,41,49,32,71,51,53,79,45,65,30,47,16,49,47,31,1,52.0,41.25,10.75,1,1,-10.75,15.920113064925136,5.170113064925136,26.53182051801195,55.0,-24.0,2,2.0794415416798357
1,50,71,42,39,62,23,54,33,36,39,36,24,20,59,23,55,1,46.75,36.5,10.25,1,1,-10.25,15.504300478684401,5.254300478684401,25.36114153582208,42.0,-36.0,4,2.0794415416798357
1,18,51,40,56,35,61,40,58,24,58,23,29,44,19,50,29,1,44.875,34.5,10.375,1,1,-10.375,14.87153320945759,4.49653320945759,19.454674888057113,42.0,-10.0,0,2.0794415416798357
1,78,37,58,59,55,50,26,53,60,84,59,81,73,58,41,48,0,52.0,63.0,-11.0,0,1,-11.0,15.882904856060389,4.882904856060389,18.33030277982336,18.0,-47.0,-4,2.0794415416798357
1,43,78,55,80,47,55,46,47,57,48,43,78,43,28,37,48,1,56.375,47.75,8.625,1,1,-8.625,14.924113597351994,6.299113597351994,13.582502530829876,30.0,-14.0,4,2.0794415416798357
1,31,55,61,26,62,68,58,39,37,25,27,59,24,51,60,34,1,50.0,39.625,10.375,1,1,-10.375,15.795437104851937,5.420437104851937,22.588368134949455,38.0,-33.0,2,2.0794415416798357
1,51,33,58,41,47,77,51,67,24,50,22,38,65,55,46,52,1,53.125,44.0,9.125,1,1,-9.125,14.841243209381078,5.716243209381078,18.421709339797978,36.0,-18.0,4,2.0794415416798357
