mean_left,mean_right,var_left,var_right,diff_mean,mean_var,diff_var,response_left,correct,source
42.375,52.125,230.26785714285714,232.41071428571428,-9.75,231.33928571428572,-2.142857142857139,0,1,data_lab
55.625,45.875,221.125,217.26785714285714,9.75,219.19642857142856,3.857142857142861,0,0,data_lab
53.0,43.0,224.85714285714286,220.0,10.0,222.42857142857144,4.857142857142861,1,1,data_lab
55.0,54.75,396.0,99.35714285714286,0.25,247.67857142857144,296.6428571428571,0,0,data_lab
42.125,42.25,388.69642857142856,101.92857142857143,-0.125,245.3125,286.7678571428571,0,1,data_lab
57.375,57.375,91.98214285714286,399.125,0.0,245.55357142857144,-307.1428571428571,0,1,data_lab
45.625,55.875,225.125,213.83928571428572,-10.25,219.48214285714286,11.285714285714278,0,1,data_lab
43.625,53.625,225.69642857142858,226.83928571428572,-10.0,226.26785714285717,-1.1428571428571388,0,1,data_lab
50.375,49.75,103.98214285714286,407.64285714285717,0.625,255.8125,-303.66071428571433,0,0,data_lab
47.25,47.375,107.35714285714286,397.125,-0.125,252.24107142857144,-289.7678571428571,0,1,data_lab
47.625,48.25,405.69642857142856,95.35714285714286,-0.625,250.52678571428572,310.33928571428567,0,1,data_lab
56.25,56.125,412.5,90.69642857142857,0.125,251.59821428571428,321.80357142857144,1,1,data_lab
53.125,43.125,236.41071428571428,225.83928571428572,10.0,231.125,10.571428571428555,1,1,data_lab
48.125,48.25,101.55357142857143,394.7857142857143,-0.125,248.16964285714286,-293.23214285714283,1,0,data_lab
40.25,39.75,398.7857142857143,95.92857142857143,0.5,247.35714285714286,302.85714285714283,0,0,data_lab
47.0,56.75,239.71428571428572,240.21428571428572,-9.75,239.96428571428572,-0.5,0,1,data_lab
44.0,44.125,109.14285714285714,386.98214285714283,-0.125,248.0625,-277.83928571428567,0,1,data_lab
41.125,40.875,393.55357142857144,102.125,0.25,247.83928571428572,291.42857142857144,0,0,data_lab
47.875,48.0,392.4107142857143,104.57142857142857,-0.125,248.49107142857142,287.8392857142857,1,0,data_lab
42.25,41.875,91.35714285714286,411.26785714285717,0.375,251.3125,-319.91071428571433,0,0,data_lab
55.125,54.625,416.125,101.69642857142857,0.5,258.9107142857143,314.42857142857144,1,1,data_lab
57.0,57.375,105.14285714285714,391.69642857142856,-0.375,248.41964285714283,-286.55357142857144,1,0,data_lab
40.875,41.375,98.98214285714286,414.26785714285717,-0.5,256.625,-315.28571428571433,0,1,data_lab
43.75,53.875,210.78571428571428,234.41071428571428,-10.125,222.59821428571428,-23.625,0,1,data_lab
53.0,53.25,100.85714285714286,417.92857142857144,-0.25,259.39285714285717,-317.07142857142856,1,0,data_lab
45.75,55.625,226.78571428571428,228.55357142857142,-9.875,227.66964285714283,-1.7678571428571388,0,1,data_lab
49.625,50.375,103.98214285714286,383.4107142857143,-0.75,243.69642857142856,-279.42857142857144,1,0,data_lab
49.125,58.625,235.83928571428572,211.125,-9.5,223.48214285714286,24.714285714285722,0,1,data_lab
55.875,46.375,226.69642857142858,237.125,9.5,231.91071428571428,-10.428571428571416,1,1,data_lab
54.0,44.25,213.14285714285714,228.5,9.75,220.82142857142856,-15.357142857142861,1,1,data_lab
58.25,57.75,394.5,102.78571428571429,0.5,248.64285714285714,291.7142857142857,1,1,data_lab
59.125,49.0,216.69642857142858,218.0,10.125,217.34821428571428,-1.3035714285714164,0,0,data_lab
42.625,43.375,399.4107142857143,99.98214285714286,-0.75,249.69642857142856,299.42857142857144,0,1,data_lab
48.875,58.625,224.41071428571428,214.26785714285714,-9.75,219.33928571428572,10.142857142857139,0,1,data_lab
56.125,56.125,98.41071428571429,385.55357142857144,0.0,241.98214285714286,-287.14285714285717,0,1,data_lab
55.0,45.0,230.0,236.0,10.0,233.0,-6.0,1,1,data_lab
52.75,53.0,102.78571428571429,397.14285714285717,-0.25,249.96428571428572,-294.3571428571429,0,1,data_lab
55.0,44.625,225.42857142857142,220.55357142857142,10.375,222.99107142857142,4.875,0,0,data_lab
45.125,55.375,210.69642857142858,215.69642857142858,-10.25,213.19642857142858,-5.0,0,1,data_lab
44.125,53.75,221.83928571428572,215.07142857142858,-9.625,218.45535714285717,6.767857142857139,1,0,data_lab
49.125,49.0,102.125,409.42857142857144,0.125,255.77678571428572,-307.30357142857144,0,0,data_lab
41.875,52.0,235.26785714285714,216.85714285714286,-10.125,226.0625,18.410714285714278,1,0,data_lab
47.375,56.75,217.125,213.35714285714286,-9.375,215.24107142857144,3.767857142857139,0,1,data_lab
55.125,45.0,235.26785714285714,210.85714285714286,10.125,223.0625,24.410714285714278,1,1,data_lab
53.875,53.75,385.26785714285717,98.78571428571429,0.125,242.02678571428572,286.4821428571429,1,1,data_lab
54.625,55.0,107.98214285714286,392.0,-0.375,249.99107142857144,-284.0178571428571,1,0,data_lab
60.375,50.375,225.69642857142858,215.125,10.0,220.41071428571428,10.571428571428584,1,1,data_lab
49.875,60.0,216.41071428571428,237.42857142857142,-10.125,226.91964285714283,-21.01785714285714,1,0,data_lab
59.75,60.25,106.5,391.35714285714283,-0.5,248.92857142857142,-284.85714285714283,1,0,data_lab
47.0,56.875,239.42857142857142,222.69642857142858,-9.875,231.0625,16.732142857142833,0,1,data_lab
57.75,58.25,383.07142857142856,92.78571428571429,-0.5,237.92857142857142,290.2857142857143,1,0,data_lab
56.375,45.625,230.55357142857142,224.83928571428572,10.75,227.69642857142856,5.714285714285694,1,1,data_lab
